"","month","year","damagecause","county","state","commodity","count"
"10130","MAY",2008,"Heat","Umatilla","OR","BARLEY",2
"10131","JUN",2009,"Heat","Umatilla","OR","BARLEY",2
"10132","MAY",2009,"Heat","Umatilla","OR","BARLEY",2
"10133","MAY",2013,"Heat","Umatilla","OR","BARLEY",1
"10134","JUL",2014,"Heat","Umatilla","OR","BARLEY",1
"10135","JUL",1995,"Insects","Umatilla","OR","BARLEY",1
"10136","JUN",2002,"Insects","Umatilla","OR","BARLEY",1
"10137","JUL",1990,"Other (Snow-Lightning-Etc.)","Umatilla","OR","BARLEY",1
"10138","JUN",2008,"Plant Disease","Umatilla","OR","BARLEY",2
"10139","JUL",2004,"Wildlife","Umatilla","OR","BARLEY",1
"10140","JUN",2007,"Wildlife","Umatilla","OR","BARLEY",1
"10141","OCT",1989,"Wind/Excess Wind","Umatilla","OR","BARLEY",1
"10142","APR",2009,"Wind/Excess Wind","Umatilla","OR","BARLEY",2
"10143","APR",2011,"Cold Wet Weather","Union","OR","BARLEY",1
"10144","JUN",2011,"Cold Wet Weather","Union","OR","BARLEY",1
"10145","MAY",2011,"Cold Wet Weather","Union","OR","BARLEY",1
"10146","SEP",2014,"Decline in Price","Union","OR","BARLEY",1
"10147","SEP",2015,"Decline in Price","Union","OR","BARLEY",2
"10148","JUL",2001,"Drought","Union","OR","BARLEY",1
"10149","JUN",2001,"Drought","Union","OR","BARLEY",1
"10150","SEP",2001,"Drought","Union","OR","BARLEY",2
"10151","JUN",2002,"Drought","Union","OR","BARLEY",1
"10152","SEP",2002,"Drought","Union","OR","BARLEY",1
"10153","AUG",2003,"Drought","Union","OR","BARLEY",1
"10154","JUL",2003,"Drought","Union","OR","BARLEY",1
"10155","JUN",2003,"Drought","Union","OR","BARLEY",1
"10156","MAY",2003,"Drought","Union","OR","BARLEY",1
"10157","SEP",2003,"Drought","Union","OR","BARLEY",3
"10158","AUG",2007,"Drought","Union","OR","BARLEY",1
"10159","JUN",2007,"Drought","Union","OR","BARLEY",1
"10160","MAY",2007,"Drought","Union","OR","BARLEY",1
"10161","SEP",2007,"Drought","Union","OR","BARLEY",1
"10162","AUG",2009,"Drought","Union","OR","BARLEY",2
"10163","JUN",2009,"Drought","Union","OR","BARLEY",1
"10164","MAY",2009,"Drought","Union","OR","BARLEY",1
"10165","AUG",2012,"Drought","Union","OR","BARLEY",1
"10166","FEB",2013,"Drought","Union","OR","BARLEY",1
"10167","MAY",2013,"Drought","Union","OR","BARLEY",1
"10168","JUN",2014,"Drought","Union","OR","BARLEY",1
"10169","MAY",2014,"Drought","Union","OR","BARLEY",1
"10170","MAY",2015,"Drought","Union","OR","BARLEY",2
"10171","SEP",2003,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",1
"10172","AUG",2004,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",1
"10173","APR",2011,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",1
"10174","MAY",2011,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",2
"10175","APR",2014,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",1
"10176","JUN",2001,"Failure Irrig Supply","Union","OR","BARLEY",2
"10177","JUN",2008,"Flood","Union","OR","BARLEY",1
"10178","JUN",2014,"Flood","Union","OR","BARLEY",2
"10179","MAY",2013,"Freeze","Union","OR","BARLEY",2
"10180","APR",2014,"Freeze","Union","OR","BARLEY",1
"10181","DEC",2014,"Freeze","Union","OR","BARLEY",2
"10182","SEP",2006,"Frost","Union","OR","BARLEY",1
"10183","JUL",2010,"Frost","Union","OR","BARLEY",1
"10184","APR",2012,"Frost","Union","OR","BARLEY",1
"10185","MAY",2013,"Frost","Union","OR","BARLEY",1
"10186","JUL",2006,"Hail","Union","OR","BARLEY",2
"10187","APR",2008,"Hail","Union","OR","BARLEY",1
"10188","AUG",2008,"Hail","Union","OR","BARLEY",1
"10189","JUL",2008,"Hail","Union","OR","BARLEY",1
"10190","AUG",2002,"Heat","Union","OR","BARLEY",1
"10191","JUL",2002,"Heat","Union","OR","BARLEY",1
"10192","JUL",2003,"Heat","Union","OR","BARLEY",2
"10193","JUN",2003,"Heat","Union","OR","BARLEY",1
"10194","JUL",2004,"Heat","Union","OR","BARLEY",1
"10195","JUL",2006,"Heat","Union","OR","BARLEY",1
"10196","MAY",2006,"Heat","Union","OR","BARLEY",1
"10197","AUG",2007,"Heat","Union","OR","BARLEY",1
"10198","JUL",2007,"Heat","Union","OR","BARLEY",1
"10199","JUN",2008,"Heat","Union","OR","BARLEY",1
"10200","MAY",2008,"Heat","Union","OR","BARLEY",1
"10201","JUL",2010,"Heat","Union","OR","BARLEY",1
"10202","APR",2012,"Heat","Union","OR","BARLEY",1
"10203","JUL",2012,"Heat","Union","OR","BARLEY",1
"10204","JUL",2013,"Heat","Union","OR","BARLEY",1
"10205","JUN",2013,"Heat","Union","OR","BARLEY",1
"10206","AUG",2002,"Other (Snow-Lightning-Etc.)","Union","OR","BARLEY",1
"10207","AUG",2013,"Wildlife","Union","OR","BARLEY",1
"10208","FEB",2006,"Cold Wet Weather","Wallowa","OR","BARLEY",1
"10209","MAY",2008,"Cold Wet Weather","Wallowa","OR","BARLEY",2
"10210","JUN",2009,"Cold Wet Weather","Wallowa","OR","BARLEY",1
"10211","JUN",2011,"Cold Wet Weather","Wallowa","OR","BARLEY",2
"10212","MAY",2011,"Cold Wet Weather","Wallowa","OR","BARLEY",1
"10213","AUG",2009,"Decline in Price","Wallowa","OR","BARLEY",1
"10214","SEP",2015,"Decline in Price","Wallowa","OR","BARLEY",1
"10215","JUN",2001,"Drought","Wallowa","OR","BARLEY",2
"10216","MAY",2001,"Drought","Wallowa","OR","BARLEY",2
"10217","JUN",2002,"Drought","Wallowa","OR","BARLEY",3
"10218","MAY",2002,"Drought","Wallowa","OR","BARLEY",1
"10219","AUG",2003,"Drought","Wallowa","OR","BARLEY",1
"10220","JUN",2003,"Drought","Wallowa","OR","BARLEY",3
"10221","JUN",2005,"Drought","Wallowa","OR","BARLEY",1
"10222","MAY",2005,"Drought","Wallowa","OR","BARLEY",2
"10223","SEP",2005,"Drought","Wallowa","OR","BARLEY",1
"10224","JUL",2006,"Drought","Wallowa","OR","BARLEY",1
"10225","AUG",2007,"Drought","Wallowa","OR","BARLEY",1
"10226","JUL",2007,"Drought","Wallowa","OR","BARLEY",1
"10227","MAY",2008,"Drought","Wallowa","OR","BARLEY",1
"10228","MAY",2013,"Drought","Wallowa","OR","BARLEY",1
"10229","JUN",2014,"Drought","Wallowa","OR","BARLEY",1
"10230","MAY",2014,"Drought","Wallowa","OR","BARLEY",1
"10231","APR",2015,"Drought","Wallowa","OR","BARLEY",1
"10232","JUN",2015,"Drought","Wallowa","OR","BARLEY",3
"10233","AUG",2004,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10234","APR",2005,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10235","MAY",2005,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10236","APR",2006,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10237","JUN",2006,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10238","MAY",2008,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",2
"10239","AUG",2010,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10240","JUN",2010,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10241","JUN",2011,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",1
"10242","MAY",2011,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",2
"10243","MAY",2006,"Flood","Wallowa","OR","BARLEY",2
"10244","MAY",2010,"Freeze","Wallowa","OR","BARLEY",1
"10245","MAY",2001,"Frost","Wallowa","OR","BARLEY",1
"10246","JUL",2002,"Frost","Wallowa","OR","BARLEY",1
"10247","MAY",2002,"Frost","Wallowa","OR","BARLEY",1
"10248","MAY",2013,"Frost","Wallowa","OR","BARLEY",2
"10249","AUG",2006,"Hail","Wallowa","OR","BARLEY",1
"10250","JUN",2012,"Hail","Wallowa","OR","BARLEY",1
"10251","JUL",2002,"Heat","Wallowa","OR","BARLEY",2
"10252","JUN",2003,"Heat","Wallowa","OR","BARLEY",1
"10253","AUG",2005,"Heat","Wallowa","OR","BARLEY",1
"10254","JUN",2005,"Heat","Wallowa","OR","BARLEY",1
"10255","MAY",2005,"Heat","Wallowa","OR","BARLEY",1
"10256","JUN",2006,"Heat","Wallowa","OR","BARLEY",1
"10257","JUL",2007,"Heat","Wallowa","OR","BARLEY",1
"10258","JUN",2008,"Heat","Wallowa","OR","BARLEY",1
"10259","MAY",2013,"Heat","Wallowa","OR","BARLEY",1
"10260","JUN",2015,"Heat","Wallowa","OR","BARLEY",2
"10261","MAY",2012,"Insects","Wallowa","OR","BARLEY",1
"10262","MAY",2013,"Insects","Wallowa","OR","BARLEY",1
"10263","JUN",2003,"Wildlife","Wallowa","OR","BARLEY",1
"10264","MAY",2012,"Wildlife","Wallowa","OR","BARLEY",1
"10265","JUN",2013,"Wildlife","Wallowa","OR","BARLEY",1
"10266","MAY",2014,"Wildlife","Wallowa","OR","BARLEY",1
"10267","MAY",2011,"Cold Wet Weather","Wasco","OR","BARLEY",2
"10268","SEP",2012,"Cold Wet Weather","Wasco","OR","BARLEY",1
"10269","NOV",2012,"Cold Winter","Wasco","OR","BARLEY",1
"10270","AUG",2004,"Decline in Price","Wasco","OR","BARLEY",1
"10271","AUG",2005,"Decline in Price","Wasco","OR","BARLEY",1
"10272","AUG",2007,"Decline in Price","Wasco","OR","BARLEY",1
"10273","JUL",2007,"Decline in Price","Wasco","OR","BARLEY",1
"10274","SEP",2012,"Decline in Price","Wasco","OR","BARLEY",1
"10275","JUL",2013,"Decline in Price","Wasco","OR","BARLEY",1
"10276","SEP",2013,"Decline in Price","Wasco","OR","BARLEY",1
"10277","SEP",2015,"Decline in Price","Wasco","OR","BARLEY",1
"10278","JUL",2001,"Drought","Wasco","OR","BARLEY",1
"10279","JUN",2001,"Drought","Wasco","OR","BARLEY",2
"10280","MAR",2001,"Drought","Wasco","OR","BARLEY",1
"10281","MAY",2001,"Drought","Wasco","OR","BARLEY",4
"10282","AUG",2002,"Drought","Wasco","OR","BARLEY",1
"10283","JUN",2002,"Drought","Wasco","OR","BARLEY",1
"10284","MAY",2002,"Drought","Wasco","OR","BARLEY",2
"10285","MAY",2003,"Drought","Wasco","OR","BARLEY",2
"10286","MAY",2004,"Drought","Wasco","OR","BARLEY",2
"10287","APR",2005,"Drought","Wasco","OR","BARLEY",3
"10288","JUN",2005,"Drought","Wasco","OR","BARLEY",1
"10289","MAR",2005,"Drought","Wasco","OR","BARLEY",1
"10290","JUN",2008,"Drought","Wasco","OR","BARLEY",1
"10291","MAR",2008,"Drought","Wasco","OR","BARLEY",1
"10292","JUN",2009,"Drought","Wasco","OR","BARLEY",2
"10293","MAY",2009,"Drought","Wasco","OR","BARLEY",1
"10294","JUN",2012,"Drought","Wasco","OR","BARLEY",1
"10295","MAY",2013,"Drought","Wasco","OR","BARLEY",1
"10296","JUN",2014,"Drought","Wasco","OR","BARLEY",1
"10297","JUN",2015,"Drought","Wasco","OR","BARLEY",1
"10298","MAY",2015,"Drought","Wasco","OR","BARLEY",2
"10299","SEP",2013,"Excess Moisture/Precip/Rain","Wasco","OR","BARLEY",2
"10300","MAY",2001,"Failure Irrig Supply","Wasco","OR","BARLEY",1
"10301","APR",2013,"Freeze","Wasco","OR","BARLEY",2
"10302","MAY",2013,"Freeze","Wasco","OR","BARLEY",1
"10303","JUN",2015,"Freeze","Wasco","OR","BARLEY",1
"10304","AUG",2013,"Hail","Wasco","OR","BARLEY",1
"10305","JUN",2004,"Heat","Wasco","OR","BARLEY",2
"10306","MAY",2005,"Heat","Wasco","OR","BARLEY",1
"10307","JUL",2007,"Heat","Wasco","OR","BARLEY",2
"10308","JUN",2007,"Heat","Wasco","OR","BARLEY",1
"10309","JUL",2009,"Heat","Wasco","OR","BARLEY",1
"10310","JUN",2009,"Heat","Wasco","OR","BARLEY",2
"10311","AUG",2012,"Heat","Wasco","OR","BARLEY",1
"10312","JUL",2012,"Heat","Wasco","OR","BARLEY",1
"10313","AUG",2013,"Heat","Wasco","OR","BARLEY",2
"10314","JUN",2013,"Heat","Wasco","OR","BARLEY",1
"10315","JUN",2014,"Heat","Wasco","OR","BARLEY",1
"10316","JUN",2015,"Heat","Wasco","OR","BARLEY",1
"10317","MAY",2001,"Hot Wind","Wasco","OR","BARLEY",1
"10318","MAY",2012,"Other (Snow-Lightning-Etc.)","Wasco","OR","BARLEY",1
"10319","JUN",2003,"Wildlife","Wasco","OR","BARLEY",1
"10320","MAY",2005,"Wildlife","Wasco","OR","BARLEY",1
"10321","JUN",2009,"Wildlife","Wasco","OR","BARLEY",1
"10322","MAY",2005,"Wind/Excess Wind","Wasco","OR","BARLEY",1
"10323","APR",1991,"Cold Wet Weather","Adams","WA","BARLEY",1
"10324","JUN",1993,"Cold Wet Weather","Adams","WA","BARLEY",1
"10325","AUG",1993,"Cold Winter","Adams","WA","BARLEY",1
"10326","MAR",1993,"Cold Winter","Adams","WA","BARLEY",1
"10327","FEB",2014,"Cold Winter","Adams","WA","BARLEY",2
"10328","SEP",2013,"Decline in Price","Adams","WA","BARLEY",1
"10329","FEB",2014,"Decline in Price","Adams","WA","BARLEY",1
"10330","AUG",1989,"Drought","Adams","WA","BARLEY",1
"10331","JUN",1989,"Drought","Adams","WA","BARLEY",1
"10332","OCT",1989,"Drought","Adams","WA","BARLEY",1
"10333","JUL",1990,"Drought","Adams","WA","BARLEY",1
"10334","AUG",1991,"Drought","Adams","WA","BARLEY",1
"10335","DEC",1991,"Drought","Adams","WA","BARLEY",1
"10336","JUL",1991,"Drought","Adams","WA","BARLEY",1
"10337","JUN",1991,"Drought","Adams","WA","BARLEY",1
"10338","AUG",1992,"Drought","Adams","WA","BARLEY",1
"10339","JUL",1992,"Drought","Adams","WA","BARLEY",1
"10340","JUN",1992,"Drought","Adams","WA","BARLEY",2
"10341","MAY",1992,"Drought","Adams","WA","BARLEY",2
"10342","AUG",1994,"Drought","Adams","WA","BARLEY",1
"10343","JUL",1994,"Drought","Adams","WA","BARLEY",1
"10344","JUN",1994,"Drought","Adams","WA","BARLEY",1
"10345","AUG",1996,"Drought","Adams","WA","BARLEY",1
"10346","NOV",1996,"Drought","Adams","WA","BARLEY",1
"10347","OCT",1996,"Drought","Adams","WA","BARLEY",1
"10348","JUN",1999,"Drought","Adams","WA","BARLEY",1
"10349","MAY",1999,"Drought","Adams","WA","BARLEY",1
"10350","JUN",2000,"Drought","Adams","WA","BARLEY",1
"10351","JUL",2001,"Drought","Adams","WA","BARLEY",2
"10352","JUN",2001,"Drought","Adams","WA","BARLEY",2
"10353","MAY",2001,"Drought","Adams","WA","BARLEY",2
"10354","JUN",2002,"Drought","Adams","WA","BARLEY",1
"10355","MAY",2002,"Drought","Adams","WA","BARLEY",1
"10356","MAY",2003,"Drought","Adams","WA","BARLEY",2
"10357","JUN",2004,"Drought","Adams","WA","BARLEY",1
"10358","APR",2005,"Drought","Adams","WA","BARLEY",1
"10359","AUG",2005,"Drought","Adams","WA","BARLEY",1
"10360","JUL",2005,"Drought","Adams","WA","BARLEY",1
"10361","MAY",2005,"Drought","Adams","WA","BARLEY",1
"10362","JUN",2007,"Drought","Adams","WA","BARLEY",1
"10363","MAY",2007,"Drought","Adams","WA","BARLEY",1
"10364","JUN",2008,"Drought","Adams","WA","BARLEY",1
"10365","MAY",2008,"Drought","Adams","WA","BARLEY",1
"10366","JUN",2012,"Drought","Adams","WA","BARLEY",1
"10367","JUN",2014,"Drought","Adams","WA","BARLEY",1
"10368","MAY",2014,"Drought","Adams","WA","BARLEY",1
"10369","JUN",2015,"Drought","Adams","WA","BARLEY",1
"10370","MAY",2015,"Drought","Adams","WA","BARLEY",1
"10371","OCT",1989,"Freeze","Adams","WA","BARLEY",1
"10372","DEC",1991,"Freeze","Adams","WA","BARLEY",1
"10373","AUG",1992,"Freeze","Adams","WA","BARLEY",1
"10374","FEB",2014,"Freeze","Adams","WA","BARLEY",2
"10375","OCT",1989,"Frost","Adams","WA","BARLEY",1
"10376","AUG",1991,"Frost","Adams","WA","BARLEY",1
"10377","JUL",1991,"Frost","Adams","WA","BARLEY",2
"10378","JUN",1991,"Frost","Adams","WA","BARLEY",2
"10379","APR",1992,"Frost","Adams","WA","BARLEY",1
"10380","MAY",1992,"Frost","Adams","WA","BARLEY",1
"10381","APR",2001,"Frost","Adams","WA","BARLEY",1
"10382","MAY",2001,"Frost","Adams","WA","BARLEY",1
"10383","APR",2002,"Frost","Adams","WA","BARLEY",1
"10384","JUN",2002,"Frost","Adams","WA","BARLEY",1
"10385","APR",2006,"Frost","Adams","WA","BARLEY",1
"10386","APR",2013,"Frost","Adams","WA","BARLEY",1
"10387","JUL",1993,"Hail","Adams","WA","BARLEY",1
"10388","MAY",2006,"Hail","Adams","WA","BARLEY",1
"10389","JUL",1991,"Heat","Adams","WA","BARLEY",1
"10390","JUN",1991,"Heat","Adams","WA","BARLEY",1
"10391","JUN",1996,"Heat","Adams","WA","BARLEY",1
"10392","JUN",2003,"Heat","Adams","WA","BARLEY",1
"10393","MAY",2006,"Heat","Adams","WA","BARLEY",1
"10394","JUL",2014,"Heat","Adams","WA","BARLEY",1
"10395","MAY",2005,"Cold Wet Weather","Asotin","WA","BARLEY",2
"10396","SEP",2015,"Decline in Price","Asotin","WA","BARLEY",1
"10397","APR",2001,"Drought","Asotin","WA","BARLEY",1
"10398","AUG",2001,"Drought","Asotin","WA","BARLEY",2
"10399","JUN",2001,"Drought","Asotin","WA","BARLEY",2
"10400","MAY",2001,"Drought","Asotin","WA","BARLEY",1
"10401","SEP",2001,"Drought","Asotin","WA","BARLEY",1
"10402","APR",2002,"Drought","Asotin","WA","BARLEY",1
"10403","AUG",2002,"Drought","Asotin","WA","BARLEY",1
"10404","JUL",2002,"Drought","Asotin","WA","BARLEY",1
"10405","JUN",2002,"Drought","Asotin","WA","BARLEY",1
"10406","MAY",2002,"Drought","Asotin","WA","BARLEY",1
"10407","SEP",2002,"Drought","Asotin","WA","BARLEY",1
"10408","AUG",2003,"Drought","Asotin","WA","BARLEY",1
"10409","JUL",2003,"Drought","Asotin","WA","BARLEY",3
"10410","JUN",2003,"Drought","Asotin","WA","BARLEY",1
"10411","MAY",2003,"Drought","Asotin","WA","BARLEY",1
"10412","JUL",2005,"Drought","Asotin","WA","BARLEY",1
"10413","APR",2007,"Drought","Asotin","WA","BARLEY",1
"10414","JUL",2007,"Drought","Asotin","WA","BARLEY",1
"10415","JUN",2007,"Drought","Asotin","WA","BARLEY",1
"10416","MAY",2007,"Drought","Asotin","WA","BARLEY",1
"10417","JUL",2008,"Drought","Asotin","WA","BARLEY",1
"10418","MAY",2008,"Drought","Asotin","WA","BARLEY",1
"10419","MAY",2009,"Drought","Asotin","WA","BARLEY",2
"10420","JUL",2011,"Drought","Asotin","WA","BARLEY",1
"10421","APR",2013,"Drought","Asotin","WA","BARLEY",1
"10422","JUL",2013,"Drought","Asotin","WA","BARLEY",1
"10423","MAY",2013,"Drought","Asotin","WA","BARLEY",1
"10424","JUL",2014,"Drought","Asotin","WA","BARLEY",1
"10425","MAY",2014,"Drought","Asotin","WA","BARLEY",1
"10426","JAN",2015,"Drought","Asotin","WA","BARLEY",1
"10427","JUL",2015,"Drought","Asotin","WA","BARLEY",1
"10428","JUN",2015,"Drought","Asotin","WA","BARLEY",1
"10429","APR",2003,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",1
"10430","MAY",2003,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",1
"10431","APR",2006,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",1
"10432","AUG",2010,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",1
"10433","APR",2011,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",1
"10434","MAY",2011,"Excess Moisture/Precip/Rain","Asotin","WA","BARLEY",3
"10435","MAY",2013,"Frost","Asotin","WA","BARLEY",1
"10436","JUL",2003,"Hail","Asotin","WA","BARLEY",1
"10437","JUL",2006,"Hail","Asotin","WA","BARLEY",1
"10438","JUL",2014,"Hail","Asotin","WA","BARLEY",1
"10439","MAY",2001,"Heat","Asotin","WA","BARLEY",1
"10440","SEP",2002,"Heat","Asotin","WA","BARLEY",1
"10441","JUL",2003,"Heat","Asotin","WA","BARLEY",1
"10442","JUN",2003,"Heat","Asotin","WA","BARLEY",1
"10443","MAY",2006,"Heat","Asotin","WA","BARLEY",1
"10444","JUL",2007,"Heat","Asotin","WA","BARLEY",1
"10445","JUN",2007,"Heat","Asotin","WA","BARLEY",1
"10446","JUL",2009,"Heat","Asotin","WA","BARLEY",1
"10447","JUL",2012,"Heat","Asotin","WA","BARLEY",1
"10448","JUN",2012,"Heat","Asotin","WA","BARLEY",1
"10449","MAY",2012,"Heat","Asotin","WA","BARLEY",1
"10450","MAY",2013,"Heat","Asotin","WA","BARLEY",1
"10451","JUN",2014,"Heat","Asotin","WA","BARLEY",1
"10452","JUN",2015,"Heat","Asotin","WA","BARLEY",1
"10453","JUN",2015,"Wildlife","Asotin","WA","BARLEY",1
"10454","DEC",1999,"Cold Winter","Benton","WA","BARLEY",1
"10455","OCT",1989,"Drought","Benton","WA","BARLEY",2
"10456","APR",1991,"Drought","Benton","WA","BARLEY",2
"10457","JUN",1991,"Drought","Benton","WA","BARLEY",2
"10458","MAR",1991,"Drought","Benton","WA","BARLEY",2
"10459","MAY",1991,"Drought","Benton","WA","BARLEY",3
"10460","JUN",1992,"Drought","Benton","WA","BARLEY",1
"10461","JUN",1999,"Drought","Benton","WA","BARLEY",1
"10462","JUN",2001,"Drought","Benton","WA","BARLEY",1
"10463","MAY",2001,"Drought","Benton","WA","BARLEY",1
"10464","MAY",1991,"Hail","Benton","WA","BARLEY",1
"10465","JUL",1989,"Heat","Benton","WA","BARLEY",1
"10466","JUN",1989,"Heat","Benton","WA","BARLEY",1
"10471","MAY",2009,"Cold Wet Weather","Columbia","WA","BARLEY",1
"10472","JUN",2010,"Cold Wet Weather","Columbia","WA","BARLEY",1
"10473","JUN",2011,"Cold Wet Weather","Columbia","WA","BARLEY",1
"10474","MAY",2012,"Cold Wet Weather","Columbia","WA","BARLEY",1
"10475","SEP",2013,"Decline in Price","Columbia","WA","BARLEY",1
"10476","JUL",2014,"Decline in Price","Columbia","WA","BARLEY",1
"10477","SEP",2014,"Decline in Price","Columbia","WA","BARLEY",1
"10478","SEP",2015,"Decline in Price","Columbia","WA","BARLEY",1
"10479","JUN",2001,"Drought","Columbia","WA","BARLEY",1
"10480","MAY",2001,"Drought","Columbia","WA","BARLEY",1
"10481","JUL",2002,"Drought","Columbia","WA","BARLEY",1
"10482","JUN",2002,"Drought","Columbia","WA","BARLEY",2
"10483","MAY",2002,"Drought","Columbia","WA","BARLEY",1
"10484","AUG",2003,"Drought","Columbia","WA","BARLEY",1
"10485","JUL",2003,"Drought","Columbia","WA","BARLEY",1
"10486","JUN",2003,"Drought","Columbia","WA","BARLEY",1
"10487","MAY",2003,"Drought","Columbia","WA","BARLEY",1
"10488","JUL",2005,"Drought","Columbia","WA","BARLEY",1
"10489","JUN",2005,"Drought","Columbia","WA","BARLEY",1
"10490","MAY",2005,"Drought","Columbia","WA","BARLEY",1
"10491","MAY",2007,"Drought","Columbia","WA","BARLEY",1
"10492","JUN",2008,"Drought","Columbia","WA","BARLEY",1
"10493","MAY",2008,"Drought","Columbia","WA","BARLEY",1
"10494","MAY",2013,"Drought","Columbia","WA","BARLEY",2
"10495","JUN",2014,"Drought","Columbia","WA","BARLEY",3
"10496","MAY",2014,"Drought","Columbia","WA","BARLEY",4
"10497","SEP",2014,"Drought","Columbia","WA","BARLEY",1
"10498","APR",2015,"Drought","Columbia","WA","BARLEY",3
"10499","JUN",2015,"Drought","Columbia","WA","BARLEY",2
"10500","MAY",2015,"Drought","Columbia","WA","BARLEY",3
"10501","SEP",2015,"Drought","Columbia","WA","BARLEY",1
"10502","MAY",2009,"Excess Moisture/Precip/Rain","Columbia","WA","BARLEY",1
"10503","JUN",2012,"Excess Moisture/Precip/Rain","Columbia","WA","BARLEY",1
"10504","SEP",2013,"Excess Moisture/Precip/Rain","Columbia","WA","BARLEY",1
"10505","AUG",2006,"Fire","Columbia","WA","BARLEY",1
"10506","MAY",2013,"Freeze","Columbia","WA","BARLEY",1
"10507","MAY",2002,"Frost","Columbia","WA","BARLEY",1
"10508","JUN",2001,"Hail","Columbia","WA","BARLEY",1
"10509","AUG",2008,"Hail","Columbia","WA","BARLEY",1
"10510","JUL",2002,"Heat","Columbia","WA","BARLEY",1
"10511","JUL",2003,"Heat","Columbia","WA","BARLEY",1
"10512","JUN",2003,"Heat","Columbia","WA","BARLEY",1
"10513","JUN",2005,"Heat","Columbia","WA","BARLEY",1
"10514","MAY",2006,"Heat","Columbia","WA","BARLEY",1
"10515","JUL",2007,"Heat","Columbia","WA","BARLEY",1
"10516","JUL",2008,"Heat","Columbia","WA","BARLEY",1
"10517","JUN",2008,"Heat","Columbia","WA","BARLEY",1
"10518","JUL",2012,"Heat","Columbia","WA","BARLEY",1
"10519","JUN",2014,"Heat","Columbia","WA","BARLEY",1
"10520","JUN",2015,"Heat","Columbia","WA","BARLEY",3
"10521","JUN",2014,"Other Causes","Columbia","WA","BARLEY",1
"10522","APR",2011,"Cold Wet Weather","Douglas","WA","BARLEY",1
"10523","SEP",2013,"Decline in Price","Douglas","WA","BARLEY",1
"10524","APR",2001,"Drought","Douglas","WA","BARLEY",1
"10525","MAR",2001,"Drought","Douglas","WA","BARLEY",1
"10526","MAY",2001,"Drought","Douglas","WA","BARLEY",1
"10527","SEP",2001,"Drought","Douglas","WA","BARLEY",1
"10528","JUL",2002,"Drought","Douglas","WA","BARLEY",1
"10529","JUN",2002,"Drought","Douglas","WA","BARLEY",1
"10530","MAY",2002,"Drought","Douglas","WA","BARLEY",1
"10531","NOV",2002,"Drought","Douglas","WA","BARLEY",1
"10532","OCT",2002,"Drought","Douglas","WA","BARLEY",1
"10533","JUN",2003,"Drought","Douglas","WA","BARLEY",2
"10534","JUN",2004,"Drought","Douglas","WA","BARLEY",1
"10535","JUN",2005,"Drought","Douglas","WA","BARLEY",1
"10536","MAY",2007,"Drought","Douglas","WA","BARLEY",1
"10537","JUN",2008,"Drought","Douglas","WA","BARLEY",1
"10538","APR",2009,"Drought","Douglas","WA","BARLEY",1
"10539","AUG",2012,"Drought","Douglas","WA","BARLEY",1
"10540","JUL",2012,"Drought","Douglas","WA","BARLEY",1
"10541","JUN",2012,"Drought","Douglas","WA","BARLEY",1
"10542","MAY",2013,"Drought","Douglas","WA","BARLEY",1
"10543","MAR",2014,"Drought","Douglas","WA","BARLEY",1
"10544","MAY",2014,"Drought","Douglas","WA","BARLEY",2
"10545","JUN",2015,"Drought","Douglas","WA","BARLEY",2
"10546","JUN",2001,"Frost","Douglas","WA","BARLEY",1
"10547","MAY",2002,"Frost","Douglas","WA","BARLEY",1
"10548","AUG",2013,"Hail","Douglas","WA","BARLEY",1
"10549","JUL",2013,"Hail","Douglas","WA","BARLEY",1
"10550","JUN",2015,"Hail","Douglas","WA","BARLEY",1
"10551","JUL",2006,"Heat","Douglas","WA","BARLEY",1
"10552","JUN",2006,"Heat","Douglas","WA","BARLEY",1
"10553","MAY",2006,"Heat","Douglas","WA","BARLEY",1
"10554","JUN",2007,"Heat","Douglas","WA","BARLEY",1
"10555","MAY",2007,"Heat","Douglas","WA","BARLEY",1
"10556","JUL",2012,"Heat","Douglas","WA","BARLEY",2
