"","month","year","damagecause","county","state","commodity","loss","count","meanloss","acres","lossperacres"
"6758","OCT",2015,"Decline in Price","Benton","WA","CHERRIES",40299,2,20149.5,189.6,212.5475
"6759","SEP",2015,"Decline in Price","Benton","WA","CHERRIES",17339.4,1,17339.4,7.2,2408.25
"6760","APR",2001,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",101623,1,101623,48.9,2078.18
"6761","JUN",2001,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",45999,1,45999,25,1839.96
"6762","JUN",2002,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",19360,1,19360,24.6,786.9919
"6763","APR",2004,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",100732,1,100732,47.7,2111.782
"6764","JUN",2004,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",2172337.55,2,1086168.775,1200.39,1809.6931
"6765","MAY",2004,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",61904,1,61904,29.5,2098.4407
"6766","JUN",2006,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",2013915.7,2,1006957.85,1162.14,1732.9373
"6767","MAY",2006,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",4438.6,2,2219.3,9.53,465.7503
"6768","JUN",2007,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",504.4,1,504.4,0.4,1261
"6769","JUN",2008,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",12396,2,6198,18.57,667.5283
"6770","APR",2010,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",9060.59,1,9060.59,3.773,2401.4286
"6771","JUN",2010,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",449469.7,3,149823.233333333,188.62,2382.9377
"6772","MAY",2010,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",87526.35,2,43763.175,63.844,1370.9409
"6773","JUN",2012,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",573854.2,2,286927.1,314.6,1824.0757
"6774","APR",2013,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",3515.75,1,3515.75,1.96,1793.75
"6775","JUL",2013,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",246.5,1,246.5,14.3,17.2378
"6776","JUN",2013,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",1105559.13,3,368519.71,413.897,2671.0972
"6777","MAR",2013,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",155813.49,1,155813.49,40.57,3840.6086
"6778","MAY",2013,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",676446.39,3,225482.13,164.332,4116.34
"6779","JUL",2014,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",26302,1,26302,12.5,2104.16
"6780","JUN",2014,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",177438.4,2,88719.2,37.29,4758.3374
"6781","JUN",2015,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",17987,1,17987,4.3,4183.0233
"6782","MAY",2015,"Excess Moisture/Precip/Rain","Benton","WA","CHERRIES",194331.75,2,97165.875,80.3,2420.0716
"6783","APR",2015,"Failure Irrig Supply","Benton","WA","CHERRIES",79417,1,79417,30,2647.2333
"6784","APR",2002,"Freeze","Benton","WA","CHERRIES",26332,1,26332,22.5,1170.3111
"6785","APR",2003,"Freeze","Benton","WA","CHERRIES",8183,2,4091.5,6.1,1341.4754
"6786","MAR",2003,"Freeze","Benton","WA","CHERRIES",6989,1,6989,4,1747.25
"6787","APR",2005,"Freeze","Benton","WA","CHERRIES",15543,1,15543,22.5,690.8
"6788","JAN",2005,"Freeze","Benton","WA","CHERRIES",22489.3,1,22489.3,10.965,2051.0078
"6789","MAR",2005,"Freeze","Benton","WA","CHERRIES",6668,1,6668,4.5,1481.7778
"6790","FEB",2006,"Freeze","Benton","WA","CHERRIES",2970.2,1,2970.2,10.9,272.4954
"6791","APR",2007,"Freeze","Benton","WA","CHERRIES",111882,2,55941,82.2,1361.0949
"6792","MAR",2007,"Freeze","Benton","WA","CHERRIES",291765.85,2,145882.925,156.61,1863.0091
"6793","APR",2008,"Freeze","Benton","WA","CHERRIES",1130778.54,2,565389.27,635.56,1779.1846
"6794","MAR",2008,"Freeze","Benton","WA","CHERRIES",172249.4,2,86124.7,154.69,1113.5135
"6795","MAY",2008,"Freeze","Benton","WA","CHERRIES",6707,1,6707,3.4,1972.6471
"6796","APR",2010,"Freeze","Benton","WA","CHERRIES",410037.4,3,136679.133333333,358.748,1142.9678
"6797","MAR",2010,"Freeze","Benton","WA","CHERRIES",164234.4,3,54744.8,76.1,2158.1393
"6798","MAY",2010,"Freeze","Benton","WA","CHERRIES",45903.8,2,22951.9,74.48,616.3238
"6799","APR",2011,"Freeze","Benton","WA","CHERRIES",158730.92,3,52910.3066666667,103.403,1535.0707
"6800","FEB",2011,"Freeze","Benton","WA","CHERRIES",522051.38,3,174017.126666667,195.227,2674.0737
"6801","JUN",2011,"Freeze","Benton","WA","CHERRIES",5163,1,5163,1.8,2868.3333
"6802","MAR",2011,"Freeze","Benton","WA","CHERRIES",1719.2,1,1719.2,1.69,1017.2781
"6803","NOV",2011,"Freeze","Benton","WA","CHERRIES",24614.8,2,12307.4,16.481,1493.5259
"6804","APR",2013,"Freeze","Benton","WA","CHERRIES",558284.29,3,186094.763333333,272.659,2047.555
"6805","MAR",2013,"Freeze","Benton","WA","CHERRIES",447339.24,3,149113.08,148.63,3009.7507
"6806","APR",2014,"Freeze","Benton","WA","CHERRIES",6968,1,6968,4,1742
"6807","FEB",2014,"Freeze","Benton","WA","CHERRIES",64804,1,64804,17.7,3661.2429
"6808","MAR",2014,"Freeze","Benton","WA","CHERRIES",493944.6,3,164648.2,255.34,1934.4584
"6809","MAY",2014,"Freeze","Benton","WA","CHERRIES",38233,1,38233,13.6,2811.25
"6810","APR",2015,"Freeze","Benton","WA","CHERRIES",19743.8,1,19743.8,5.82,3392.4055
"6811","DEC",2015,"Freeze","Benton","WA","CHERRIES",50158.8,1,50158.8,15.06,3330.5976
"6812","NOV",2015,"Freeze","Benton","WA","CHERRIES",8626.8,1,8626.8,1.24,6957.0968
"6813","MAR",2002,"Frost","Benton","WA","CHERRIES",2238,1,2238,2,1119
"6814","MAY",2002,"Frost","Benton","WA","CHERRIES",54247,1,54247,82.71,655.8699
"6815","APR",2003,"Frost","Benton","WA","CHERRIES",57646,1,57646,56.6,1018.4806
"6816","MAR",2003,"Frost","Benton","WA","CHERRIES",6105,1,6105,7.1,859.8592
"6817","APR",2005,"Frost","Benton","WA","CHERRIES",33359,2,16679.5,17,1962.2941
"6818","JUL",2006,"Frost","Benton","WA","CHERRIES",2035,1,2035,20.8,97.8365
"6819","APR",2007,"Frost","Benton","WA","CHERRIES",5877,1,5877,25.4,231.378
"6820","MAR",2007,"Frost","Benton","WA","CHERRIES",148082.91,2,74041.455,113.77,1301.5989
"6821","MAY",2007,"Frost","Benton","WA","CHERRIES",5091.59,1,5091.59,5.39,944.6364
"6822","APR",2008,"Frost","Benton","WA","CHERRIES",591534,2,295767,309.68,1910.146
"6823","MAR",2008,"Frost","Benton","WA","CHERRIES",76772.4,2,38386.2,66.05,1162.3376
"6824","APR",2010,"Frost","Benton","WA","CHERRIES",470573.1,3,156857.7,285.223,1649.8428
"6825","MAR",2010,"Frost","Benton","WA","CHERRIES",325999.72,3,108666.573333333,147.848,2204.9654
"6826","MAY",2010,"Frost","Benton","WA","CHERRIES",67181.85,3,22393.95,57.99,1158.5075
"6827","APR",2011,"Frost","Benton","WA","CHERRIES",236182,3,78727.3333333333,111.98,2109.1445
"6828","FEB",2011,"Frost","Benton","WA","CHERRIES",155316,3,51772,68.3,2274.0264
"6829","MAR",2011,"Frost","Benton","WA","CHERRIES",126872.8,1,126872.8,82.51,1537.6657
"6830","APR",2013,"Frost","Benton","WA","CHERRIES",1622372.49,3,540790.83,491.65,3299.8525
"6831","MAR",2013,"Frost","Benton","WA","CHERRIES",704569.97,3,234856.656666667,202.134,3485.6579
"6832","MAY",2013,"Frost","Benton","WA","CHERRIES",41506.56,3,13835.52,15.673,2648.2843
"6833","APR",2014,"Frost","Benton","WA","CHERRIES",30829.8,1,30829.8,11.56,2666.9377
"6834","JUN",2014,"Frost","Benton","WA","CHERRIES",8780,1,8780,10.3,852.4272
"6835","MAR",2014,"Frost","Benton","WA","CHERRIES",236426.85,3,78808.95,106.525,2219.4494
"6836","APR",2015,"Frost","Benton","WA","CHERRIES",109138.3,1,109138.3,90.91,1200.5093
"6837","JUN",2001,"Hail","Benton","WA","CHERRIES",14700,1,14700,7,2100
"6838","JUN",2004,"Hail","Benton","WA","CHERRIES",2848.2,1,2848.2,1.41,2020
"6839","MAY",2004,"Hail","Benton","WA","CHERRIES",14060,1,14060,6.5,2163.0769
"6840","APR",2007,"Hail","Benton","WA","CHERRIES",9893,1,9893,9,1099.2222
"6841","APR",2009,"Hail","Benton","WA","CHERRIES",5709.3,1,5709.3,2.4,2378.875
"6842","JUN",2012,"Hail","Benton","WA","CHERRIES",19292.8,2,9646.4,10.96,1760.292
"6843","JUN",2013,"Hail","Benton","WA","CHERRIES",16635.2,1,16635.2,2.775,5994.6667
"6844","JUN",2009,"Heat","Benton","WA","CHERRIES",20362,1,20362,6.7,3039.1045
"6845","MAY",2013,"Heat","Benton","WA","CHERRIES",91192,2,45596,27.825,3277.3405
"6846","JUN",2015,"Heat","Benton","WA","CHERRIES",83108.65,2,41554.325,40.7,2041.9816
"6847","MAY",2015,"Heat","Benton","WA","CHERRIES",57341.5,2,28670.75,21.67,2646.1237
"6848","AUG",2009,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",65270,1,65270,39.7,1644.0806
"6849","JUL",2009,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",255805.7,2,127902.85,116.9,2188.2438
"6850","JUN",2009,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",248195,2,124097.5,114.7,2163.8622
"6851","MAY",2009,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",3654,1,3654,4.1,891.2195
"6852","SEP",2009,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",29288,1,29288,10.05,2914.2289
"6853","APR",2012,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",9739,1,9739,16.3,597.4847
"6854","SEP",2012,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",13518,1,13518,14.5,932.2759
"6855","JUN",2014,"Other (Snow-Lightning-Etc.)","Benton","WA","CHERRIES",34107,1,34107,21.5,1586.3721
"6856","APR",2001,"Plant Disease","Benton","WA","CHERRIES",8619,1,8619,7.1,1213.9437
"6857","MAY",2001,"Plant Disease","Benton","WA","CHERRIES",7901,1,7901,4.1,1927.0732
"6858","JUL",2009,"Plant Disease","Benton","WA","CHERRIES",73926.27,1,73926.27,19.404,3809.8469
"6859","MAR",2014,"Plant Disease","Benton","WA","CHERRIES",32217,1,32217,10.6,3039.3396
"6860","JUN",2005,"Wildlife","Benton","WA","CHERRIES",6064.8,1,6064.8,2.904,2088.4298
"6861","JUN",2007,"Wildlife","Benton","WA","CHERRIES",6725.05,2,3362.525,4.03,1668.7469
"6862","APR",2008,"Wildlife","Benton","WA","CHERRIES",4359.06,1,4359.06,1.84,2369.0543
"6863","JUL",2009,"Wildlife","Benton","WA","CHERRIES",133,1,133,0.2,665
"6864","JUL",2010,"Wildlife","Benton","WA","CHERRIES",70.07,1,70.07,0.098,715
"6865","JUN",2001,"Wind/Excess Wind","Benton","WA","CHERRIES",81222,1,81222,47,1728.1277
"6866","JUN",2002,"Wind/Excess Wind","Benton","WA","CHERRIES",69683.4,2,34841.7,39.39,1769.0632
"6867","JUN",2004,"Wind/Excess Wind","Benton","WA","CHERRIES",16118.25,1,16118.25,20.3,794.0025
"6868","MAY",2004,"Wind/Excess Wind","Benton","WA","CHERRIES",866.6,1,866.6,3,288.8667
"6869","JUN",2006,"Wind/Excess Wind","Benton","WA","CHERRIES",3098.5,1,3098.5,1.79,1731.0056
"6870","JUN",2008,"Wind/Excess Wind","Benton","WA","CHERRIES",1843.6,1,1843.6,1.31,1407.3282
"6871","JUL",2009,"Wind/Excess Wind","Benton","WA","CHERRIES",33365,2,16682.5,12.9,2586.4341
"6872","JUN",2009,"Wind/Excess Wind","Benton","WA","CHERRIES",121790.85,2,60895.425,42.09,2893.5816
"6873","MAY",2009,"Wind/Excess Wind","Benton","WA","CHERRIES",43128.8,1,43128.8,7.6,5674.8421
"6874","APR",2010,"Wind/Excess Wind","Benton","WA","CHERRIES",20377.69,2,10188.845,8.916,2285.5193
"6875","JUN",2010,"Wind/Excess Wind","Benton","WA","CHERRIES",69964.35,2,34982.175,61.196,1143.2831
"6876","JUN",2011,"Wind/Excess Wind","Benton","WA","CHERRIES",51735.8,2,25867.9,20.53,2520.0097
"6877","JUN",2012,"Wind/Excess Wind","Benton","WA","CHERRIES",33614,1,33614,5.04,6669.4444
"6878","APR",2014,"Wind/Excess Wind","Benton","WA","CHERRIES",14296.2,1,14296.2,7.14,2002.2689
"6879","JUN",2014,"Wind/Excess Wind","Benton","WA","CHERRIES",23684.8,2,11842.4,46.36,510.8887
"6880","APR",2001,"Cold Wet Weather","Chelan","WA","CHERRIES",35535,2,17767.5,23.4,1518.5897
"6881","APR",2006,"Cold Wet Weather","Chelan","WA","CHERRIES",4261,1,4261,4.9,869.5918
"6882","APR",2009,"Cold Wet Weather","Chelan","WA","CHERRIES",158,2,79,2.3,68.6957
"6883","JUL",2009,"Cold Wet Weather","Chelan","WA","CHERRIES",32976.08,2,16488.04,9.54,3456.6122
"6884","APR",2010,"Cold Wet Weather","Chelan","WA","CHERRIES",171050.71,3,57016.9033333333,151.147,1131.6845
"6885","JUL",2010,"Cold Wet Weather","Chelan","WA","CHERRIES",79681,1,79681,23,3464.3913
"6886","JUN",2010,"Cold Wet Weather","Chelan","WA","CHERRIES",120336,1,120336,21.92,5489.781
"6887","MAY",2010,"Cold Wet Weather","Chelan","WA","CHERRIES",78842.16,2,39421.08,84.664,931.2359
"6888","APR",2011,"Cold Wet Weather","Chelan","WA","CHERRIES",27647.46,3,9215.82,23.963,1153.7562
"6889","MAY",2011,"Cold Wet Weather","Chelan","WA","CHERRIES",12355.7,1,12355.7,16.24,760.819
"6890","APR",2012,"Cold Wet Weather","Chelan","WA","CHERRIES",45.26,1,45.26,0.035,1293.1429
"6891","JUL",2012,"Cold Wet Weather","Chelan","WA","CHERRIES",422.12,2,211.06,0.282,1496.8794
"6892","MAY",2012,"Cold Wet Weather","Chelan","WA","CHERRIES",266038.5,2,133019.25,38.8,6856.6624
"6893","APR",2013,"Cold Wet Weather","Chelan","WA","CHERRIES",50713.4,2,25356.7,32.38,1566.1952
"6894","MAY",2013,"Cold Wet Weather","Chelan","WA","CHERRIES",7485.24,2,3742.62,4.704,1591.25
"6895","APR",2014,"Cold Wet Weather","Chelan","WA","CHERRIES",980.2,1,980.2,0.29,3380
"6896","JUL",2014,"Cold Wet Weather","Chelan","WA","CHERRIES",27067,1,27067,8,3383.375
"6897","MAY",2014,"Cold Wet Weather","Chelan","WA","CHERRIES",9706,1,9706,21.8,445.2294
"6898","NOV",2014,"Cold Wet Weather","Chelan","WA","CHERRIES",9441,1,9441,4.8,1966.875
"6899","APR",2015,"Cold Wet Weather","Chelan","WA","CHERRIES",4617.54,1,4617.54,2.652,1741.1538
"6900","MAY",2001,"Cold Winter","Chelan","WA","CHERRIES",12034,1,12034,8.4,1432.619
"6901","APR",2006,"Cold Winter","Chelan","WA","CHERRIES",41649,2,20824.5,25,1665.96
"6902","DEC",2009,"Cold Winter","Chelan","WA","CHERRIES",9644,1,9644,5.3,1819.6226
"6903","JUL",2014,"Cold Winter","Chelan","WA","CHERRIES",16088,2,8044,8.4,1915.2381
"6904","MAR",2014,"Cold Winter","Chelan","WA","CHERRIES",8458.75,2,4229.375,1.075,7868.6047
"6905","APR",2015,"Cold Winter","Chelan","WA","CHERRIES",6763.11,1,6763.11,4.08,1657.625
"6906","DEC",2015,"Cold Winter","Chelan","WA","CHERRIES",131112.4,1,131112.4,41.96,3124.6997
"6907","NOV",2015,"Cold Winter","Chelan","WA","CHERRIES",64591.75,1,64591.75,13.2,4893.3144
"6908","AUG",2009,"Decline in Price","Chelan","WA","CHERRIES",46921.1,1,46921.1,16.23,2891.0105
"6909","JUL",2009,"Decline in Price","Chelan","WA","CHERRIES",1901173.69,3,633724.563333333,702.043,2708.0588
"6910","JUN",2009,"Decline in Price","Chelan","WA","CHERRIES",1332229.72,1,1332229.72,286.745,4646.0434
"6911","NOV",2009,"Decline in Price","Chelan","WA","CHERRIES",653.4,2,326.7,1.8,363
"6912","OCT",2009,"Decline in Price","Chelan","WA","CHERRIES",82432.85,3,27477.6166666667,97.67,843.9935
"6913","SEP",2009,"Decline in Price","Chelan","WA","CHERRIES",23239.9,1,23239.9,17.423,1333.8633
"6914","MAY",2010,"Decline in Price","Chelan","WA","CHERRIES",24125.64,2,12062.82,17.542,1375.3073
"6915","OCT",2010,"Decline in Price","Chelan","WA","CHERRIES",25440.54,2,12720.27,61.256,415.3151
"6916","SEP",2010,"Decline in Price","Chelan","WA","CHERRIES",2134.5,2,1067.25,1.4,1524.6429
"6917","AUG",2012,"Decline in Price","Chelan","WA","CHERRIES",24590.14,1,24590.14,33.925,724.8383
"6918","JUL",2012,"Decline in Price","Chelan","WA","CHERRIES",241890.8,2,120945.4,174.84,1383.4981
"6919","NOV",2012,"Decline in Price","Chelan","WA","CHERRIES",42959.12,1,42959.12,22.687,1893.5567
"6920","OCT",2012,"Decline in Price","Chelan","WA","CHERRIES",81991.55,2,40995.775,113.35,723.3485
"6921","SEP",2012,"Decline in Price","Chelan","WA","CHERRIES",64934,2,32467,54.3,1195.8379
"6922","NOV",2013,"Decline in Price","Chelan","WA","CHERRIES",13996.8,1,13996.8,5.16,2712.5581
"6923","AUG",2014,"Decline in Price","Chelan","WA","CHERRIES",40751.4,1,40751.4,20.7,1968.6667
"6924","DEC",2014,"Decline in Price","Chelan","WA","CHERRIES",1166,1,1166,12.7,91.811
"6925","FEB",2014,"Decline in Price","Chelan","WA","CHERRIES",45559,1,45559,16.8,2711.8452
"6926","JUL",2014,"Decline in Price","Chelan","WA","CHERRIES",54066.6,1,54066.6,33.67,1605.7796
"6927","NOV",2014,"Decline in Price","Chelan","WA","CHERRIES",5837,1,5837,13.4,435.597
"6928","OCT",2014,"Decline in Price","Chelan","WA","CHERRIES",73842.12,1,73842.12,58.856,1254.6235
"6929","SEP",2014,"Decline in Price","Chelan","WA","CHERRIES",10658.05,1,10658.05,9.12,1168.6458
"6930","DEC",2015,"Decline in Price","Chelan","WA","CHERRIES",19767,1,19767,30.3,652.3762
"6931","JUL",2015,"Decline in Price","Chelan","WA","CHERRIES",1749684.8,1,1749684.8,378.45,4623.2918
"6932","NOV",2015,"Decline in Price","Chelan","WA","CHERRIES",28384,1,28384,14.8,1917.8378
"6933","OCT",2015,"Decline in Price","Chelan","WA","CHERRIES",73984.89,2,36992.445,50.22,1473.2157
"6934","SEP",2015,"Decline in Price","Chelan","WA","CHERRIES",399477.69,2,199738.845,204.498,1953.4552
"6935","JUN",2001,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",3941.25,1,3941.25,3.525,1118.0851
"6936","MAY",2002,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",11405,1,11405,5.3,2151.8868
"6937","APR",2011,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",6899.5,1,6899.5,2.3,2999.7826
"6938","JUL",2011,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",126772.9,2,63386.45,127.721,992.5768
"6939","MAY",2011,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",23591.19,2,11795.595,17.567,1342.9265
"6940","JUL",2012,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",1502662.2,2,751331.1,386.056,3892.3426
"6941","JUN",2012,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",43298.88,1,43298.88,37.313,1160.4234
"6942","MAY",2012,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",5283.8,1,5283.8,3.78,1397.8307
"6943","APR",2013,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",27029,1,27029,19.1,1415.1309
"6944","JUN",2013,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",275129.43,3,91709.81,306.946,896.3447
"6945","APR",2014,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",1666.4,1,1666.4,0.8,2083
"6946","JUN",2014,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",60005.25,2,30002.625,13.725,4371.9672
"6947","MAY",2015,"Excess Moisture/Precip/Rain","Chelan","WA","CHERRIES",24422,1,24422,18.8,1299.0426
"6948","APR",2002,"Freeze","Chelan","WA","CHERRIES",17133,2,8566.5,19,901.7368
"6949","MAY",2002,"Freeze","Chelan","WA","CHERRIES",14857,1,14857,7,2122.4286
"6950","OCT",2002,"Freeze","Chelan","WA","CHERRIES",790,1,790,1,790
"6951","OCT",2003,"Freeze","Chelan","WA","CHERRIES",4228.9,1,4228.9,3.38,1251.1538
"6952","FEB",2006,"Freeze","Chelan","WA","CHERRIES",10101,1,10101,33.5,301.5224
"6953","APR",2008,"Freeze","Chelan","WA","CHERRIES",164346,2,82173,116.5,1410.6953
"6954","MAR",2008,"Freeze","Chelan","WA","CHERRIES",53752,1,53752,31.11,1727.8046
"6955","APR",2010,"Freeze","Chelan","WA","CHERRIES",26742,2,13371,29.8,897.3826
"6956","MAY",2010,"Freeze","Chelan","WA","CHERRIES",49071.36,2,24535.68,37.058,1324.1772
"6957","OCT",2010,"Freeze","Chelan","WA","CHERRIES",21849.3,1,21849.3,5.94,3678.3333
"6958","APR",2011,"Freeze","Chelan","WA","CHERRIES",62168.5,2,31084.25,35.265,1762.8952
"6959","FEB",2011,"Freeze","Chelan","WA","CHERRIES",164364.19,1,164364.19,149.422,1099.9999
"6960","JAN",2011,"Freeze","Chelan","WA","CHERRIES",23570,1,23570,30.4,775.3289
"6961","MAR",2011,"Freeze","Chelan","WA","CHERRIES",46616,1,46616,83.8,556.2768
"6962","MAY",2011,"Freeze","Chelan","WA","CHERRIES",46.45,1,46.45,0.256,181.4453
"6963","NOV",2011,"Freeze","Chelan","WA","CHERRIES",156977.76,1,156977.76,82.346,1906.3192
"6964","APR",2013,"Freeze","Chelan","WA","CHERRIES",14373,1,14373,15.5,927.2903
"6965","DEC",2014,"Freeze","Chelan","WA","CHERRIES",8821.8,1,8821.8,2.61,3380
"6966","DEC",2015,"Freeze","Chelan","WA","CHERRIES",287242,2,143621,66.01,4351.4922
"6967","MAR",2015,"Freeze","Chelan","WA","CHERRIES",20489,1,20489,6,3414.8333
"6968","NOV",2015,"Freeze","Chelan","WA","CHERRIES",4257,1,4257,6.5,654.9231
"6969","APR",2001,"Frost","Chelan","WA","CHERRIES",2952.38,1,2952.38,3.368,876.5974
"6970","APR",2002,"Frost","Chelan","WA","CHERRIES",35814,1,35814,21,1705.4286
"6971","MAR",2002,"Frost","Chelan","WA","CHERRIES",11763,2,5881.5,10.8,1089.1667
"6972","MAY",2002,"Frost","Chelan","WA","CHERRIES",867,1,867,3,289
"6973","JUN",2003,"Frost","Chelan","WA","CHERRIES",2277.1,1,2277.1,1.82,1251.1538
"6974","APR",2005,"Frost","Chelan","WA","CHERRIES",36470,1,36470,48.5,751.9588
"6975","MAY",2006,"Frost","Chelan","WA","CHERRIES",750.75,2,375.375,4.345,172.7848
"6976","APR",2008,"Frost","Chelan","WA","CHERRIES",238043,2,119021.5,138.6,1717.482
"6977","APR",2009,"Frost","Chelan","WA","CHERRIES",143296.75,3,47765.5833333333,42.205,3395.2553
"6978","APR",2010,"Frost","Chelan","WA","CHERRIES",316644.93,3,105548.31,288.109,1099.0456
"6979","MAR",2010,"Frost","Chelan","WA","CHERRIES",16744,1,16744,4.31,3884.9188
"6980","MAY",2010,"Frost","Chelan","WA","CHERRIES",13560.06,2,6780.03,10.264,1321.1282
"6981","APR",2011,"Frost","Chelan","WA","CHERRIES",23576.88,1,23576.88,38.52,612.0685
"6982","MAR",2011,"Frost","Chelan","WA","CHERRIES",5104,1,5104,6,850.6667
"6983","MAY",2011,"Frost","Chelan","WA","CHERRIES",30016.2,2,15008.1,26.92,1115.0149
"6984","APR",2012,"Frost","Chelan","WA","CHERRIES",40258.25,2,20129.125,10.385,3876.5768
"6985","MAY",2012,"Frost","Chelan","WA","CHERRIES",19043,1,19043,28.86,659.8406
"6986","APR",2013,"Frost","Chelan","WA","CHERRIES",158395.63,3,52798.5433333333,119.07,1330.2732
"6987","APR",2014,"Frost","Chelan","WA","CHERRIES",6777.2,1,6777.2,3.08,2200.3896
"6988","APR",2015,"Frost","Chelan","WA","CHERRIES",206984.6,1,206984.6,49.74,4161.3309
"6989","NOV",2015,"Frost","Chelan","WA","CHERRIES",68660.46,3,22886.82,36.923,1859.558
"6990","JUL",2006,"Hail","Chelan","WA","CHERRIES",18096.7,2,9048.35,24.581,736.2068
"6991","JUN",2006,"Hail","Chelan","WA","CHERRIES",7323.55,2,3661.775,3.574,2049.1186
"6992","JUN",2009,"Hail","Chelan","WA","CHERRIES",81165.21,2,40582.605,27.184,2985.7714
"6993","MAY",2011,"Hail","Chelan","WA","CHERRIES",3911.52,1,3911.52,0.58,6744
"6994","JUL",2012,"Hail","Chelan","WA","CHERRIES",10764.06,2,5382.03,7.191,1496.8794
"6995","JUN",2012,"Hail","Chelan","WA","CHERRIES",17237,1,17237,20.3,849.1133
"6996","MAY",2013,"Hail","Chelan","WA","CHERRIES",736.1,1,736.1,0.54,1363.1481
"6997","JUN",2015,"Hail","Chelan","WA","CHERRIES",15997,1,15997,2.3,6955.2174
"6998","MAY",2015,"Hail","Chelan","WA","CHERRIES",461345.8,2,230672.9,100.615,4585.2587
"6999","APR",2002,"Heat","Chelan","WA","CHERRIES",32065,1,32065,14.9,2152.0134
"7000","AUG",2009,"Heat","Chelan","WA","CHERRIES",798.6,2,399.3,2.2,363
"7001","JUL",2009,"Heat","Chelan","WA","CHERRIES",477982.6,3,159327.533333333,156.635,3051.5696
"7002","JUN",2009,"Heat","Chelan","WA","CHERRIES",16989.6,2,8494.8,15,1132.64
"7003","MAY",2009,"Heat","Chelan","WA","CHERRIES",109355,1,109355,19.9,5495.2261
"7004","APR",2012,"Heat","Chelan","WA","CHERRIES",16963.95,1,16963.95,24.675,687.4954
"7005","AUG",2012,"Heat","Chelan","WA","CHERRIES",21571.6,1,21571.6,17.74,1215.9865
"7006","JUL",2012,"Heat","Chelan","WA","CHERRIES",133775.83,1,133775.83,47.917,2791.824
"7007","MAY",2012,"Heat","Chelan","WA","CHERRIES",16731.1,1,16731.1,8.56,1954.5678
"7008","JUL",2013,"Heat","Chelan","WA","CHERRIES",6036,1,6036,12.3,490.7317
"7009","AUG",2014,"Heat","Chelan","WA","CHERRIES",9956,1,9956,9,1106.2222
"7010","JUL",2014,"Heat","Chelan","WA","CHERRIES",115742.13,1,115742.13,28.919,4002.2867
"7011","MAY",2014,"Heat","Chelan","WA","CHERRIES",392.1,1,392.1,0.255,1537.6471
"7012","JUL",2015,"Heat","Chelan","WA","CHERRIES",82419.4,2,41209.7,38.25,2154.7556
"7013","JUN",2015,"Heat","Chelan","WA","CHERRIES",86286.16,1,86286.16,51.352,1680.2882
"7014","JUL",2009,"Other (Snow-Lightning-Etc.)","Chelan","WA","CHERRIES",377938,2,188969,130.4,2898.2975
"7015","JUN",2009,"Other (Snow-Lightning-Etc.)","Chelan","WA","CHERRIES",159247,2,79623.5,31.3,5087.7636
