"","month","year","damagecause","county","state","commodity","loss"
"9878","MAY",2009,"Drought","Morrow","OR","BARLEY",41324.8
"9879","AUG",2012,"Drought","Morrow","OR","BARLEY",7081.86
"9880","APR",2014,"Drought","Morrow","OR","BARLEY",92767
"9881","APR",2015,"Drought","Morrow","OR","BARLEY",54158
"9882","JUN",2015,"Drought","Morrow","OR","BARLEY",1432.95
"9883","MAY",2015,"Drought","Morrow","OR","BARLEY",226346.99
"9884","DEC",1991,"Freeze","Morrow","OR","BARLEY",4656
"9885","JUN",1996,"Frost","Morrow","OR","BARLEY",28
"9886","APR",2008,"Frost","Morrow","OR","BARLEY",238117.6
"9887","MAY",2010,"Frost","Morrow","OR","BARLEY",3118
"9888","APR",2011,"Frost","Morrow","OR","BARLEY",35899.7
"9889","MAY",2011,"Frost","Morrow","OR","BARLEY",20570.8
"9890","APR",2013,"Frost","Morrow","OR","BARLEY",49232.5
"9891","AUG",1991,"Hail","Morrow","OR","BARLEY",11649
"9892","JUN",1991,"Hail","Morrow","OR","BARLEY",9372
"9893","SEP",1991,"Hail","Morrow","OR","BARLEY",20658
"9894","JUL",1995,"Hail","Morrow","OR","BARLEY",2588
"9895","AUG",2008,"Hail","Morrow","OR","BARLEY",4487.2
"9896","JUN",1989,"Heat","Morrow","OR","BARLEY",3545
"9897","DEC",1991,"Heat","Morrow","OR","BARLEY",75
"9898","JUN",1992,"Heat","Morrow","OR","BARLEY",391
"9899","MAY",1992,"Heat","Morrow","OR","BARLEY",3
"9900","AUG",1998,"Heat","Morrow","OR","BARLEY",2
"9901","JUN",2003,"Heat","Morrow","OR","BARLEY",17645.8
"9902","JUN",2004,"Heat","Morrow","OR","BARLEY",2988
"9903","JUN",2006,"Heat","Morrow","OR","BARLEY",1417
"9904","MAY",2006,"Heat","Morrow","OR","BARLEY",6509
"9905","JUL",2007,"Heat","Morrow","OR","BARLEY",2365
"9906","MAY",2007,"Heat","Morrow","OR","BARLEY",48747.5
"9907","JUN",2009,"Heat","Morrow","OR","BARLEY",24125.8
"9908","JUL",2010,"Heat","Morrow","OR","BARLEY",3118
"9909","JUL",2012,"Heat","Morrow","OR","BARLEY",13747.14
"9910","MAY",2013,"Heat","Morrow","OR","BARLEY",49232.5
"9911","JUN",2015,"Heat","Morrow","OR","BARLEY",50264.1
"9912","MAY",2008,"Insects","Morrow","OR","BARLEY",220248.4
"9913","APR",2011,"Wind/Excess Wind","Morrow","OR","BARLEY",2161.5
"9914","APR",1999,"Cold Wet Weather","Sherman","OR","BARLEY",136
"9915","APR",2011,"Cold Wet Weather","Sherman","OR","BARLEY",2452
"9916","MAY",2011,"Cold Wet Weather","Sherman","OR","BARLEY",25414
"9917","AUG",2012,"Cold Wet Weather","Sherman","OR","BARLEY",1393
"9918","MAR",2012,"Cold Wet Weather","Sherman","OR","BARLEY",5165
"9919","MAY",2012,"Cold Wet Weather","Sherman","OR","BARLEY",3772
"9920","AUG",2004,"Decline in Price","Sherman","OR","BARLEY",383
"9921","MAR",2004,"Decline in Price","Sherman","OR","BARLEY",2560
"9922","AUG",2007,"Decline in Price","Sherman","OR","BARLEY",6919
"9923","JUL",2007,"Decline in Price","Sherman","OR","BARLEY",10139
"9924","SEP",2009,"Decline in Price","Sherman","OR","BARLEY",7051
"9925","AUG",2013,"Decline in Price","Sherman","OR","BARLEY",797.6
"9926","JUL",2013,"Decline in Price","Sherman","OR","BARLEY",18.97
"9927","MAY",2013,"Decline in Price","Sherman","OR","BARLEY",2886.6
"9928","SEP",2013,"Decline in Price","Sherman","OR","BARLEY",1878.03
"9929","MAY",2014,"Decline in Price","Sherman","OR","BARLEY",50.6
"9930","SEP",2014,"Decline in Price","Sherman","OR","BARLEY",3273.3
"9931","AUG",2015,"Decline in Price","Sherman","OR","BARLEY",10493.8
"9932","SEP",2015,"Decline in Price","Sherman","OR","BARLEY",3979.79
"9933","AUG",1989,"Drought","Sherman","OR","BARLEY",3222
"9934","JUN",1989,"Drought","Sherman","OR","BARLEY",23
"9935","OCT",1989,"Drought","Sherman","OR","BARLEY",3185
"9936","SEP",1989,"Drought","Sherman","OR","BARLEY",254
"9937","APR",1990,"Drought","Sherman","OR","BARLEY",3194
"9938","AUG",1990,"Drought","Sherman","OR","BARLEY",2603
"9939","JAN",1990,"Drought","Sherman","OR","BARLEY",160
"9940","JUN",1990,"Drought","Sherman","OR","BARLEY",4537
"9941","MAR",1990,"Drought","Sherman","OR","BARLEY",1811
"9942","MAY",1990,"Drought","Sherman","OR","BARLEY",4956
"9943","NOV",1990,"Drought","Sherman","OR","BARLEY",82
"9944","APR",1991,"Drought","Sherman","OR","BARLEY",148
"9945","AUG",1991,"Drought","Sherman","OR","BARLEY",999
"9946","JUL",1991,"Drought","Sherman","OR","BARLEY",380
"9947","JUN",1991,"Drought","Sherman","OR","BARLEY",6302
"9948","MAY",1991,"Drought","Sherman","OR","BARLEY",1966
"9949","SEP",1991,"Drought","Sherman","OR","BARLEY",31
"9950","AUG",1992,"Drought","Sherman","OR","BARLEY",4811
"9951","JUL",1992,"Drought","Sherman","OR","BARLEY",35554
"9952","JUN",1992,"Drought","Sherman","OR","BARLEY",10059
"9953","MAY",1992,"Drought","Sherman","OR","BARLEY",38325
"9954","JUL",1994,"Drought","Sherman","OR","BARLEY",6874
"9955","MAY",1994,"Drought","Sherman","OR","BARLEY",1735
"9956","AUG",1999,"Drought","Sherman","OR","BARLEY",12012
"9957","JUL",1999,"Drought","Sherman","OR","BARLEY",51201
"9958","JUN",1999,"Drought","Sherman","OR","BARLEY",150064
"9959","MAY",1999,"Drought","Sherman","OR","BARLEY",10713
"9960","OCT",1999,"Drought","Sherman","OR","BARLEY",180
"9961","SEP",1999,"Drought","Sherman","OR","BARLEY",975
"9962","APR",2000,"Drought","Sherman","OR","BARLEY",5502
"9963","AUG",2000,"Drought","Sherman","OR","BARLEY",18258
"9964","JUL",2000,"Drought","Sherman","OR","BARLEY",1168
"9965","JUN",2000,"Drought","Sherman","OR","BARLEY",96898
"9966","MAY",2000,"Drought","Sherman","OR","BARLEY",2209
"9967","NOV",2000,"Drought","Sherman","OR","BARLEY",1689
"9968","APR",2001,"Drought","Sherman","OR","BARLEY",3177
"9969","AUG",2001,"Drought","Sherman","OR","BARLEY",6098
"9970","DEC",2001,"Drought","Sherman","OR","BARLEY",336
"9971","JUL",2001,"Drought","Sherman","OR","BARLEY",9099
"9972","JUN",2001,"Drought","Sherman","OR","BARLEY",248619
"9973","MAY",2001,"Drought","Sherman","OR","BARLEY",116358
"9974","APR",2002,"Drought","Sherman","OR","BARLEY",452
"9975","AUG",2002,"Drought","Sherman","OR","BARLEY",1439
"9976","JUL",2002,"Drought","Sherman","OR","BARLEY",9016
"9977","JUN",2002,"Drought","Sherman","OR","BARLEY",117916
"9978","MAY",2002,"Drought","Sherman","OR","BARLEY",45743
"9979","AUG",2003,"Drought","Sherman","OR","BARLEY",214
"9980","JUL",2003,"Drought","Sherman","OR","BARLEY",177143
"9981","JUN",2003,"Drought","Sherman","OR","BARLEY",18319
"9982","MAY",2003,"Drought","Sherman","OR","BARLEY",35659
"9983","DEC",2004,"Drought","Sherman","OR","BARLEY",2
"9984","JUN",2004,"Drought","Sherman","OR","BARLEY",4905
"9985","MAR",2004,"Drought","Sherman","OR","BARLEY",40595
"9986","NOV",2004,"Drought","Sherman","OR","BARLEY",6
"9987","APR",2005,"Drought","Sherman","OR","BARLEY",7579
"9988","AUG",2005,"Drought","Sherman","OR","BARLEY",2636
"9989","JUL",2005,"Drought","Sherman","OR","BARLEY",226881
"9990","JUN",2005,"Drought","Sherman","OR","BARLEY",338.8
"9991","MAY",2005,"Drought","Sherman","OR","BARLEY",157080
"9992","FEB",2007,"Drought","Sherman","OR","BARLEY",64882
"9993","JUN",2007,"Drought","Sherman","OR","BARLEY",27623.6
"9994","MAR",2007,"Drought","Sherman","OR","BARLEY",7489
"9995","MAY",2007,"Drought","Sherman","OR","BARLEY",5308
"9996","APR",2008,"Drought","Sherman","OR","BARLEY",1416
"9997","JUN",2008,"Drought","Sherman","OR","BARLEY",46353
"9998","MAR",2008,"Drought","Sherman","OR","BARLEY",116952
"9999","MAY",2008,"Drought","Sherman","OR","BARLEY",78124.59
"10000","JUN",2009,"Drought","Sherman","OR","BARLEY",620
"10001","MAR",2009,"Drought","Sherman","OR","BARLEY",725.05
"10002","MAY",2009,"Drought","Sherman","OR","BARLEY",10298
"10003","FEB",2012,"Drought","Sherman","OR","BARLEY",2134.5
"10004","JUL",2012,"Drought","Sherman","OR","BARLEY",2057.51
"10005","NOV",2012,"Drought","Sherman","OR","BARLEY",6255.89
"10006","APR",2013,"Drought","Sherman","OR","BARLEY",3964
"10007","JUL",2013,"Drought","Sherman","OR","BARLEY",145594
"10008","JUN",2013,"Drought","Sherman","OR","BARLEY",61887.5
"10009","MAY",2013,"Drought","Sherman","OR","BARLEY",152490.5
"10010","JUL",2014,"Drought","Sherman","OR","BARLEY",30738.3
"10011","JUN",2014,"Drought","Sherman","OR","BARLEY",232822.4
"10012","MAY",2014,"Drought","Sherman","OR","BARLEY",2479.4
"10013","JUN",2015,"Drought","Sherman","OR","BARLEY",3540
"10014","MAY",2015,"Drought","Sherman","OR","BARLEY",137304.91
"10015","JUN",2001,"Excess Moisture/Precip/Rain","Sherman","OR","BARLEY",1307
"10016","MAY",2006,"Excess Moisture/Precip/Rain","Sherman","OR","BARLEY",72.3
"10017","APR",2011,"Excess Moisture/Precip/Rain","Sherman","OR","BARLEY",1926.5
"10018","JUN",2011,"Excess Moisture/Precip/Rain","Sherman","OR","BARLEY",4378.5
"10019","JUL",1994,"Fire","Sherman","OR","BARLEY",519
"10020","JUN",2003,"Fire","Sherman","OR","BARLEY",3719
"10021","AUG",2008,"Fire","Sherman","OR","BARLEY",2363.5
"10022","JUL",2012,"Fire","Sherman","OR","BARLEY",611.1
"10023","AUG",1991,"Freeze","Sherman","OR","BARLEY",2821
"10024","DEC",2014,"Freeze","Sherman","OR","BARLEY",2530
"10025","NOV",2015,"Freeze","Sherman","OR","BARLEY",708
"10026","AUG",1991,"Frost","Sherman","OR","BARLEY",17082
"10027","JUL",1999,"Hail","Sherman","OR","BARLEY",2696
"10028","JUN",2006,"Hail","Sherman","OR","BARLEY",1682
"10029","MAY",2006,"Hail","Sherman","OR","BARLEY",15804.1
"10030","AUG",2008,"Hail","Sherman","OR","BARLEY",7090.5
"10031","AUG",2013,"Hail","Sherman","OR","BARLEY",165935.59
"10032","MAY",1992,"Heat","Sherman","OR","BARLEY",1530
"10033","JUL",1998,"Heat","Sherman","OR","BARLEY",172
"10034","JUN",2001,"Heat","Sherman","OR","BARLEY",510
"10035","JUL",2003,"Heat","Sherman","OR","BARLEY",1153
"10036","JUN",2004,"Heat","Sherman","OR","BARLEY",150
"10037","MAY",2005,"Heat","Sherman","OR","BARLEY",79.2
"10038","JUL",2006,"Heat","Sherman","OR","BARLEY",477
"10039","JUN",2006,"Heat","Sherman","OR","BARLEY",5940.6
"10040","FEB",2007,"Heat","Sherman","OR","BARLEY",43371
"10041","JUL",2007,"Heat","Sherman","OR","BARLEY",102116
"10042","JUN",2007,"Heat","Sherman","OR","BARLEY",8887
"10043","MAY",2007,"Heat","Sherman","OR","BARLEY",78160.4
"10044","JUN",2008,"Heat","Sherman","OR","BARLEY",8288
"10045","MAY",2008,"Heat","Sherman","OR","BARLEY",42899.41
"10046","JUL",2010,"Heat","Sherman","OR","BARLEY",14256
"10047","JUN",2010,"Heat","Sherman","OR","BARLEY",5486
"10048","JUL",2012,"Heat","Sherman","OR","BARLEY",12670
"10049","APR",2013,"Heat","Sherman","OR","BARLEY",276.41
"10050","JUL",2013,"Heat","Sherman","OR","BARLEY",61887.5
"10051","MAY",2013,"Heat","Sherman","OR","BARLEY",13550.3
"10052","JUL",2014,"Heat","Sherman","OR","BARLEY",1671.6
"10053","JUN",2014,"Heat","Sherman","OR","BARLEY",716.4
"10054","JUN",2015,"Heat","Sherman","OR","BARLEY",1403.5
"10055","SEP",1992,"Other (Snow-Lightning-Etc.)","Sherman","OR","BARLEY",1291
"10056","OCT",1989,"Plant Disease","Sherman","OR","BARLEY",368
"10057","JUN",2009,"Wildlife","Sherman","OR","BARLEY",127.95
"10058","AUG",1997,"Wind/Excess Wind","Sherman","OR","BARLEY",6178
"10059","APR",1989,"Cold Wet Weather","Umatilla","OR","BARLEY",43
"10060","APR",1995,"Cold Wet Weather","Umatilla","OR","BARLEY",854
"10061","JAN",2004,"Cold Wet Weather","Umatilla","OR","BARLEY",759
"10062","MAY",1989,"Drought","Umatilla","OR","BARLEY",3002
"10063","APR",1990,"Drought","Umatilla","OR","BARLEY",515
"10064","MAR",1990,"Drought","Umatilla","OR","BARLEY",5472
"10065","MAY",1990,"Drought","Umatilla","OR","BARLEY",1824
"10066","NOV",1990,"Drought","Umatilla","OR","BARLEY",1755
"10067","JUL",1991,"Drought","Umatilla","OR","BARLEY",1201
"10068","JUN",1991,"Drought","Umatilla","OR","BARLEY",7333
"10069","APR",1992,"Drought","Umatilla","OR","BARLEY",1860
"10070","JUL",1992,"Drought","Umatilla","OR","BARLEY",2891
"10071","JUN",1992,"Drought","Umatilla","OR","BARLEY",24609
"10072","MAY",1992,"Drought","Umatilla","OR","BARLEY",104
"10073","JUL",1996,"Drought","Umatilla","OR","BARLEY",103
"10074","JUN",1996,"Drought","Umatilla","OR","BARLEY",5241
"10075","APR",1999,"Drought","Umatilla","OR","BARLEY",374
"10076","JUL",1999,"Drought","Umatilla","OR","BARLEY",10220
"10077","JUN",1999,"Drought","Umatilla","OR","BARLEY",139720
"10078","MAY",1999,"Drought","Umatilla","OR","BARLEY",22175
"10079","APR",2000,"Drought","Umatilla","OR","BARLEY",856
"10080","JUN",2000,"Drought","Umatilla","OR","BARLEY",9173
"10081","MAY",2000,"Drought","Umatilla","OR","BARLEY",62581
"10082","OCT",2000,"Drought","Umatilla","OR","BARLEY",68
"10083","JUN",2001,"Drought","Umatilla","OR","BARLEY",3147.4
"10084","MAY",2001,"Drought","Umatilla","OR","BARLEY",36357.6
"10085","JUL",2002,"Drought","Umatilla","OR","BARLEY",3835
"10086","JUN",2002,"Drought","Umatilla","OR","BARLEY",180932.4
"10087","MAY",2002,"Drought","Umatilla","OR","BARLEY",34494
"10088","SEP",2002,"Drought","Umatilla","OR","BARLEY",2940
"10089","JUN",2003,"Drought","Umatilla","OR","BARLEY",3532
"10090","MAY",2003,"Drought","Umatilla","OR","BARLEY",20391
"10091","MAY",2005,"Drought","Umatilla","OR","BARLEY",34051
"10092","APR",2007,"Drought","Umatilla","OR","BARLEY",3153.3
"10093","JUN",2007,"Drought","Umatilla","OR","BARLEY",64483
"10094","MAY",2007,"Drought","Umatilla","OR","BARLEY",5672
"10095","APR",2008,"Drought","Umatilla","OR","BARLEY",7653.5
"10096","MAY",2008,"Drought","Umatilla","OR","BARLEY",42504
"10097","JUL",2012,"Drought","Umatilla","OR","BARLEY",4878
"10098","JUL",2014,"Drought","Umatilla","OR","BARLEY",10497.96
"10099","MAY",2014,"Drought","Umatilla","OR","BARLEY",2136
"10100","JUL",2015,"Drought","Umatilla","OR","BARLEY",1750.71
"10101","JUN",2015,"Drought","Umatilla","OR","BARLEY",8662.29
"10102","MAY",2011,"Excess Moisture/Precip/Rain","Umatilla","OR","BARLEY",1095.6
"10103","JUN",1996,"Freeze","Umatilla","OR","BARLEY",3461
"10104","DEC",1999,"Freeze","Umatilla","OR","BARLEY",4763
"10105","DEC",2006,"Freeze","Umatilla","OR","BARLEY",605
"10106","DEC",1991,"Frost","Umatilla","OR","BARLEY",260
"10107","MAR",1993,"Frost","Umatilla","OR","BARLEY",4128
"10108","MAY",2001,"Frost","Umatilla","OR","BARLEY",2861.6
"10109","MAY",2002,"Frost","Umatilla","OR","BARLEY",21435.9
"10110","MAY",2003,"Frost","Umatilla","OR","BARLEY",2072.8
"10111","MAY",2006,"Frost","Umatilla","OR","BARLEY",3968.3
"10112","APR",2007,"Frost","Umatilla","OR","BARLEY",2901.5
"10113","MAY",2011,"Frost","Umatilla","OR","BARLEY",1643.4
"10114","APR",2013,"Frost","Umatilla","OR","BARLEY",502.5
"10115","JUN",2000,"Hail","Umatilla","OR","BARLEY",235
"10116","DEC",1989,"Heat","Umatilla","OR","BARLEY",811
"10117","JUL",1989,"Heat","Umatilla","OR","BARLEY",1155
"10118","JUN",1989,"Heat","Umatilla","OR","BARLEY",1782
"10119","SEP",1990,"Heat","Umatilla","OR","BARLEY",7925
"10120","APR",1998,"Heat","Umatilla","OR","BARLEY",5171
"10121","JUL",1998,"Heat","Umatilla","OR","BARLEY",4660
"10122","JUN",1998,"Heat","Umatilla","OR","BARLEY",2732
"10123","MAY",2001,"Heat","Umatilla","OR","BARLEY",24581.4
"10124","JUN",2003,"Heat","Umatilla","OR","BARLEY",40261.2
"10125","JUN",2004,"Heat","Umatilla","OR","BARLEY",8480.5
"10126","MAY",2006,"Heat","Umatilla","OR","BARLEY",1700.7
"10127","JUN",2007,"Heat","Umatilla","OR","BARLEY",60601
"10128","MAY",2007,"Heat","Umatilla","OR","BARLEY",63580.2
"10129","JUN",2008,"Heat","Umatilla","OR","BARLEY",7653.5
"10130","MAY",2008,"Heat","Umatilla","OR","BARLEY",168802.4
"10131","JUN",2009,"Heat","Umatilla","OR","BARLEY",63660.6
"10132","MAY",2009,"Heat","Umatilla","OR","BARLEY",42440.4
"10133","MAY",2013,"Heat","Umatilla","OR","BARLEY",2683.5
"10134","JUL",2014,"Heat","Umatilla","OR","BARLEY",3258
"10135","JUL",1995,"Insects","Umatilla","OR","BARLEY",1638
"10136","JUN",2002,"Insects","Umatilla","OR","BARLEY",896.7
"10137","JUL",1990,"Other (Snow-Lightning-Etc.)","Umatilla","OR","BARLEY",881
"10138","JUN",2008,"Plant Disease","Umatilla","OR","BARLEY",22431.6
"10139","JUL",2004,"Wildlife","Umatilla","OR","BARLEY",516.5
"10140","JUN",2007,"Wildlife","Umatilla","OR","BARLEY",14958
"10141","OCT",1989,"Wind/Excess Wind","Umatilla","OR","BARLEY",415
"10142","APR",2009,"Wind/Excess Wind","Umatilla","OR","BARLEY",17102
"10143","APR",2011,"Cold Wet Weather","Union","OR","BARLEY",3853
"10144","JUN",2011,"Cold Wet Weather","Union","OR","BARLEY",3418
"10145","MAY",2011,"Cold Wet Weather","Union","OR","BARLEY",4536
"10146","SEP",2014,"Decline in Price","Union","OR","BARLEY",6117
"10147","SEP",2015,"Decline in Price","Union","OR","BARLEY",210.2
"10148","JUL",2001,"Drought","Union","OR","BARLEY",3630
"10149","JUN",2001,"Drought","Union","OR","BARLEY",374
"10150","SEP",2001,"Drought","Union","OR","BARLEY",6744
"10151","JUN",2002,"Drought","Union","OR","BARLEY",581
"10152","SEP",2002,"Drought","Union","OR","BARLEY",778
"10153","AUG",2003,"Drought","Union","OR","BARLEY",1879
"10154","JUL",2003,"Drought","Union","OR","BARLEY",2717
"10155","JUN",2003,"Drought","Union","OR","BARLEY",2660
"10156","MAY",2003,"Drought","Union","OR","BARLEY",354.2
"10157","SEP",2003,"Drought","Union","OR","BARLEY",6804
"10158","AUG",2007,"Drought","Union","OR","BARLEY",3370
"10159","JUN",2007,"Drought","Union","OR","BARLEY",2574
"10160","MAY",2007,"Drought","Union","OR","BARLEY",1490
"10161","SEP",2007,"Drought","Union","OR","BARLEY",3469
"10162","AUG",2009,"Drought","Union","OR","BARLEY",6404
"10163","JUN",2009,"Drought","Union","OR","BARLEY",143
"10164","MAY",2009,"Drought","Union","OR","BARLEY",1346
"10165","AUG",2012,"Drought","Union","OR","BARLEY",70.5
"10166","FEB",2013,"Drought","Union","OR","BARLEY",7007
"10167","MAY",2013,"Drought","Union","OR","BARLEY",10297
"10168","JUN",2014,"Drought","Union","OR","BARLEY",3794
"10169","MAY",2014,"Drought","Union","OR","BARLEY",1198
"10170","MAY",2015,"Drought","Union","OR","BARLEY",840.8
"10171","SEP",2003,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",613
"10172","AUG",2004,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",919.8
"10173","APR",2011,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",8455.58
"10174","MAY",2011,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",37665.42
"10175","APR",2014,"Excess Moisture/Precip/Rain","Union","OR","BARLEY",9663
"10176","JUN",2001,"Failure Irrig Supply","Union","OR","BARLEY",264
"10177","JUN",2008,"Flood","Union","OR","BARLEY",2795
"10178","JUN",2014,"Flood","Union","OR","BARLEY",1046
"10179","MAY",2013,"Freeze","Union","OR","BARLEY",1309.5
"10180","APR",2014,"Freeze","Union","OR","BARLEY",5911
"10181","DEC",2014,"Freeze","Union","OR","BARLEY",4959
"10182","SEP",2006,"Frost","Union","OR","BARLEY",1450
"10183","JUL",2010,"Frost","Union","OR","BARLEY",678.25
"10184","APR",2012,"Frost","Union","OR","BARLEY",377
"10185","MAY",2013,"Frost","Union","OR","BARLEY",63431
"10186","JUL",2006,"Hail","Union","OR","BARLEY",1367.9
"10187","APR",2008,"Hail","Union","OR","BARLEY",2995
"10188","AUG",2008,"Hail","Union","OR","BARLEY",1516.8
"10189","JUL",2008,"Hail","Union","OR","BARLEY",2907
"10190","AUG",2002,"Heat","Union","OR","BARLEY",1067
"10191","JUL",2002,"Heat","Union","OR","BARLEY",2487
"10192","JUL",2003,"Heat","Union","OR","BARLEY",3178
"10193","JUN",2003,"Heat","Union","OR","BARLEY",520.8
"10194","JUL",2004,"Heat","Union","OR","BARLEY",3679.2
"10195","JUL",2006,"Heat","Union","OR","BARLEY",563.1
"10196","MAY",2006,"Heat","Union","OR","BARLEY",1506
"10197","AUG",2007,"Heat","Union","OR","BARLEY",280
"10198","JUL",2007,"Heat","Union","OR","BARLEY",2574
"10199","JUN",2008,"Heat","Union","OR","BARLEY",1772
"10200","MAY",2008,"Heat","Union","OR","BARLEY",2783.2
"10201","JUL",2010,"Heat","Union","OR","BARLEY",2034.75
"10202","APR",2012,"Heat","Union","OR","BARLEY",377
"10203","JUL",2012,"Heat","Union","OR","BARLEY",70.5
"10204","JUL",2013,"Heat","Union","OR","BARLEY",885
"10205","JUN",2013,"Heat","Union","OR","BARLEY",1779.5
"10206","AUG",2002,"Other (Snow-Lightning-Etc.)","Union","OR","BARLEY",1070
"10207","AUG",2013,"Wildlife","Union","OR","BARLEY",1351
"10208","FEB",2006,"Cold Wet Weather","Wallowa","OR","BARLEY",429.2
"10209","MAY",2008,"Cold Wet Weather","Wallowa","OR","BARLEY",19116
"10210","JUN",2009,"Cold Wet Weather","Wallowa","OR","BARLEY",12411
"10211","JUN",2011,"Cold Wet Weather","Wallowa","OR","BARLEY",3741
"10212","MAY",2011,"Cold Wet Weather","Wallowa","OR","BARLEY",29532
"10213","AUG",2009,"Decline in Price","Wallowa","OR","BARLEY",17295
"10214","SEP",2015,"Decline in Price","Wallowa","OR","BARLEY",18091.8
"10215","JUN",2001,"Drought","Wallowa","OR","BARLEY",2773
"10216","MAY",2001,"Drought","Wallowa","OR","BARLEY",1729
"10217","JUN",2002,"Drought","Wallowa","OR","BARLEY",9025.6
"10218","MAY",2002,"Drought","Wallowa","OR","BARLEY",1320
"10219","AUG",2003,"Drought","Wallowa","OR","BARLEY",9267
"10220","JUN",2003,"Drought","Wallowa","OR","BARLEY",28393.4
"10221","JUN",2005,"Drought","Wallowa","OR","BARLEY",3012.8
"10222","MAY",2005,"Drought","Wallowa","OR","BARLEY",7889.8
"10223","SEP",2005,"Drought","Wallowa","OR","BARLEY",3572
"10224","JUL",2006,"Drought","Wallowa","OR","BARLEY",611
"10225","AUG",2007,"Drought","Wallowa","OR","BARLEY",10060
"10226","JUL",2007,"Drought","Wallowa","OR","BARLEY",31913.9
"10227","MAY",2008,"Drought","Wallowa","OR","BARLEY",2083.8
"10228","MAY",2013,"Drought","Wallowa","OR","BARLEY",5647.8
"10229","JUN",2014,"Drought","Wallowa","OR","BARLEY",9403
"10230","MAY",2014,"Drought","Wallowa","OR","BARLEY",4037
"10231","APR",2015,"Drought","Wallowa","OR","BARLEY",2691
"10232","JUN",2015,"Drought","Wallowa","OR","BARLEY",29216
"10233","AUG",2004,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",3821
"10234","APR",2005,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",3769
"10235","MAY",2005,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",753.2
"10236","APR",2006,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",4231.2
"10237","JUN",2006,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",2698
"10238","MAY",2008,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",33069
"10239","AUG",2010,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",6048
"10240","JUN",2010,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",39695
"10241","JUN",2011,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",64566
"10242","MAY",2011,"Excess Moisture/Precip/Rain","Wallowa","OR","BARLEY",65608
"10243","MAY",2006,"Flood","Wallowa","OR","BARLEY",6998
"10244","MAY",2010,"Freeze","Wallowa","OR","BARLEY",675
"10245","MAY",2001,"Frost","Wallowa","OR","BARLEY",128
"10246","JUL",2002,"Frost","Wallowa","OR","BARLEY",1924
"10247","MAY",2002,"Frost","Wallowa","OR","BARLEY",619.6
"10248","MAY",2013,"Frost","Wallowa","OR","BARLEY",11109.8
"10249","AUG",2006,"Hail","Wallowa","OR","BARLEY",18336.8
"10250","JUN",2012,"Hail","Wallowa","OR","BARLEY",440
"10251","JUL",2002,"Heat","Wallowa","OR","BARLEY",418.8
"10252","JUN",2003,"Heat","Wallowa","OR","BARLEY",13848
"10253","AUG",2005,"Heat","Wallowa","OR","BARLEY",12160
"10254","JUN",2005,"Heat","Wallowa","OR","BARLEY",2099
"10255","MAY",2005,"Heat","Wallowa","OR","BARLEY",3827.2
"10256","JUN",2006,"Heat","Wallowa","OR","BARLEY",9699.8
"10257","JUL",2007,"Heat","Wallowa","OR","BARLEY",3212.1
"10258","JUN",2008,"Heat","Wallowa","OR","BARLEY",1389.2
"10259","MAY",2013,"Heat","Wallowa","OR","BARLEY",7107.2
"10260","JUN",2015,"Heat","Wallowa","OR","BARLEY",5812.2
"10261","MAY",2012,"Insects","Wallowa","OR","BARLEY",2860.8
"10262","MAY",2013,"Insects","Wallowa","OR","BARLEY",13513
"10263","JUN",2003,"Wildlife","Wallowa","OR","BARLEY",150.6
"10264","MAY",2012,"Wildlife","Wallowa","OR","BARLEY",715.2
"10265","JUN",2013,"Wildlife","Wallowa","OR","BARLEY",3765.2
"10266","MAY",2014,"Wildlife","Wallowa","OR","BARLEY",4037
"10267","MAY",2011,"Cold Wet Weather","Wasco","OR","BARLEY",5254
"10268","SEP",2012,"Cold Wet Weather","Wasco","OR","BARLEY",2029.6
"10269","NOV",2012,"Cold Winter","Wasco","OR","BARLEY",507.4
"10270","AUG",2004,"Decline in Price","Wasco","OR","BARLEY",249
"10271","AUG",2005,"Decline in Price","Wasco","OR","BARLEY",67.2
"10272","AUG",2007,"Decline in Price","Wasco","OR","BARLEY",1503
"10273","JUL",2007,"Decline in Price","Wasco","OR","BARLEY",9069
"10274","SEP",2012,"Decline in Price","Wasco","OR","BARLEY",7.03
"10275","JUL",2013,"Decline in Price","Wasco","OR","BARLEY",2672
"10276","SEP",2013,"Decline in Price","Wasco","OR","BARLEY",1819.3
"10277","SEP",2015,"Decline in Price","Wasco","OR","BARLEY",43.6
"10278","JUL",2001,"Drought","Wasco","OR","BARLEY",11124
"10279","JUN",2001,"Drought","Wasco","OR","BARLEY",55734
